date,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20150101,-0.0102601734826262,-0.012969668449380078,-0.016002306838575397,-0.03929247317937634,0.001514368028366686,0.0007750793533622957,-0.0019860287859152503,0.0028323897171000922
20150102,-0.003358649489306309,-0.006370747110171937,-0.010073376085522057,-0.03353318489669943,0.000950737051976791,0.0010038654589510365,-0.002175418309860233,0.0025439568313176952
20150103,-0.003358649489306309,-0.006370747110171937,-0.010073376085522057,-0.03353318489669943,0.000950737051976791,0.0010038654589510365,-0.002175418309860233,0.0025439568313176952
20150104,-0.003358649489306309,-0.006370747110171937,-0.010073376085522057,-0.03353318489669943,0.000950737051976791,0.0010038654589510365,-0.002175418309860233,0.0025439568313176952
20150105,-0.00571424849761637,-0.010502382823551093,-0.01508438752739949,-0.038530748232122214,-0.0007936800915501196,-0.0001223642622474319,-0.003720596399640508,0.0008743514584721446
20150106,-0.016287481664108983,-0.025079575251369834,-0.0315173205765763,-0.054776572296867054,0.0021489112490431506,0.003636867444840819,-0.00018095994650946245,0.004355426528703132
20150107,-0.011015264102025357,-0.021761046462729916,-0.030332656099402833,-0.053612355010977164,0.0015299680181384279,0.00384067326101567,-0.00017021903048763942,0.0042937296144114345
20150108,0.0010648713732852588,-0.009037864657378214,-0.019426124132963296,-0.04281592321567962,0.0004515255111914307,0.002694446945716189,-0.001064997021228642,0.003313729219883488
20150109,0.011787971296308042,0.002600114135905107,-0.009065101880848081,-0.0324594925183036,0.0014275188800885186,0.003937825747748258,0.0004009822916100081,0.004725943408030897
20150110,0.011787971296308042,0.002600114135905107,-0.009065101880848081,-0.0324594925183036,0.0014275188800885186,0.003937825747748258,0.0004009822916100081,0.004725943408030897
20150111,0.011787971296308042,0.002600114135905107,-0.009065101880848081,-0.0324594925183036,0.0014275188800885186,0.003937825747748258,0.0004009822916100081,0.004725943408030897
20150112,0.009264874924932442,0.0012885039977277302,-0.010953699904801217,-0.03397322864206864,0.0018581889097397664,0.005129009706587473,0.0019419083446861052,0.006213575937781934
20150113,0.0036047746688012694,-0.0007117375589065222,-0.012901020726034607,-0.03549980387838303,0.0013608319464493146,0.004737456350359492,0.0018375377454171726,0.006046161449600795
20150114,-0.0013359431297153002,-0.0023163284580953736,-0.01480270276845752,-0.03681751399623223,0.0018009905447995411,0.005492047828312474,0.0028561047514361615,0.007036477843157751
20150115,-0.0020738966684020754,-0.0019042615434518018,-0.01442096718389485,-0.0361503145408566,-0.00013775369639090762,0.003803157773424104,0.0014187724054515183,0.005543380172747137
20150116,-0.011866208662471456,-0.015055872649604951,-0.027586800499673325,-0.048727044233687455,0.0008168809831943236,0.004932963764259224,0.002851867662917007,0.006946381690456693
20150117,-0.011866208662471456,-0.015055872649604951,-0.027586800499673325,-0.048727044233687455,0.0008168809831943236,0.004932963764259224,0.002851867662917007,0.006946381690456693
20150118,-0.011866208662471456,-0.015055872649604951,-0.027586800499673325,-0.048727044233687455,0.0008168809831943236,0.004932963764259224,0.002851867662917007,0.006946381690456693
20150119,-0.002369003998687891,-0.007560837608085014,-0.019835257185470967,-0.04091812258513294,-0.0005599104143336753,0.0031762410718605416,0.001365686774909891,0.00540862471346748
20150120,0.005734611279902602,8.058023983892326e-05,-0.011639068040586897,-0.03256192779845657,-0.000192747198281773,0.003216500162321667,0.0017373071968354026,0.005722375353200526
20150121,0.006466582947906474,0.0018313366809961096,-0.010096740496070122,-0.03066002158095793,-5.5080739183477334e-05,0.002787182184128989,0.0016606216564374332,0.00557099099632774
20150122,0.005548019672584559,0.0022002238266445318,-0.0102132364641504,-0.030406114828321118,-0.0008813727380394543,0.0015461498108726435,0.0007203285924473057,0.004548893392354536
20150123,0.008477892469568094,0.010244677041069794,-0.002433873985624113,-0.022234479769583815,0.0003581234332099559,0.002279371344322989,0.0017402178835548288,0.0055040903790715134
20150124,0.008477892469568094,0.010244677041069794,-0.002433873985624113,-0.022234479769583815,0.0003581234332099559,0.002279371344322989,0.0017402178835548288,0.0055040903790715134
20150125,0.008477892469568094,0.010244677041069794,-0.002433873985624113,-0.022234479769583815,0.0003581234332099559,0.002279371344322989,0.0017402178835548288,0.0055040903790715134
20150126,0.004803741607351419,0.010318888853878105,-0.0024267171361350703,-0.021921653194372337,0.0011382830285673329,0.0029750819641978232,0.0027944796957719564,0.006495554014000149
20150127,0.00990874940333275,0.01893304999279355,0.006246536446707918,-0.012932040617845808,0.0001652255328523644,0.0017537125612248072,0.001850425827806923,0.005462094082129054
20150128,0.010439303950322332,0.022823956721601535,0.011002528330039452,-0.0078121811357375615,0.0007983995301372726,0.0022815680093377644,0.0027170040318316158,0.006223831095012233
20150129,0.001882562501551499,0.016378861866210848,0.005576757895476403,-0.012645437155906492,0.0007062729882685304,0.0024003399524525904,0.003122306292500765,0.006514436355375297
20150130,-0.00037333713076592723,0.014858754423380915,0.004548215748790385,-0.012990177119066915,0.0006326734579731319,0.0023582468604546047,0.003397373127192349,0.006662346557326337
20150131,-0.00037333713076592723,0.014858754423380915,0.004548215748790385,-0.012990177119066915,0.0006326734579731319,0.0023582468604546047,0.003397373127192349,0.006662346557326337
20150201,-0.00037333713076592723,0.014858754423380915,0.004548215748790385,-0.012990177119066915,0.0006326734579731319,0.0023582468604546047,0.003397373127192349,0.006662346557326337
