date,open,high,low,close,volume,per,pbr,roe,open_lastclose_ratio,high_close_ratio,low_close_ratio,diffratio,volume_lastvolume_ratio,close_ma5_ratio,volume_ma5_ratio,close_ma10_ratio,volume_ma10_ratio,close_ma20_ratio,volume_ma20_ratio,close_ma60_ratio,volume_ma60_ratio,close_ma120_ratio,volume_ma120_ratio,ind,ind_diff,ind_ma5,ind_ma10,ind_ma20,ind_ma60,ind_ma120,inst,inst_diff,inst_ma5,inst_ma10,inst_ma20,inst_ma60,inst_ma120,foreign,foreign_diff,foreign_ma5,foreign_ma10,foreign_ma20,foreign_ma60,foreign_ma120
20150102,169000,170500,167000,169000,458014,7.93,0.64,8.93,0.0,0.008875739644970349,-0.011834319526627168,0.0,-0.34321162565927776,-0.016298020954598424,-0.12069697033690863,-0.010538641686182681,-0.2344560466680049,-0.03731130731985188,-0.24802133452595465,-0.022320782914718285,-0.4525018753927178,-0.14116924640565776,-0.37442064397943176,0.03071303497273009,-0.12085991076214775,0.04474974490198092,0.07370889188070516,0.043651488724418194,0.03300326263478128,,-0.18560568017571516,-0.037111515088829594,-0.025303035600623386,0.03099885222240729,0.06703348979914123,0.005070939693733669,,-0.06767915391232582,0.04949519369305108,-0.13392687690648405,-0.18106184472654546,-0.1657150388356456,-0.06345628641282275,
20150105,171000,171000,166000,168000,454073,7.93,0.64,8.93,0.01183431952662728,0.017857142857142794,-0.011904761904761862,-0.00591715976331364,-0.008604540472561983,-0.014084507042253502,-0.032226369765644636,-0.01581722319859402,-0.1715941894668167,-0.04041125232043408,-0.2473857281362789,-0.026792179580014452,-0.45547916745197103,-0.1441670911869587,-0.3803353893611138,0.05322712427296932,0.02251408930023923,0.0790775594685973,0.05347216422420512,0.04591800335792717,0.0287062146001139,,-0.09584141756942166,0.0897642626062935,-0.08788084669334399,0.025157216819825485,0.05802784248534985,0.003051976193138231,,-0.17833696343979932,-0.1106578095274735,-0.15141291072923152,-0.16766285271305298,-0.1699096906552197,-0.06071631499025702,
20150106,166500,167000,164000,164500,635059,7.93,0.64,8.93,-0.008928571428571397,0.015197568389057725,-0.003039513677811523,-0.02083333333333337,0.3985834876770915,-0.02315914489311166,0.25686361901927035,-0.03462441314553988,0.22942810962692173,-0.05486929043378341,0.07475822936577647,-0.04582366589327147,-0.23425186303682455,-0.1598748749813802,-0.1363672983741835,0.16727579642206472,0.11404867214909539,0.10678603220344156,0.050392579217035195,0.07205155977106596,0.02874527077936275,,-0.23523011247773828,-0.13938869490831662,-0.15376767840540853,0.004476255373127102,0.030578020383297332,0.001799164988743801,,-0.10852377495634263,0.06981318848345669,-0.14199916450421193,-0.15501499936575827,-0.1774851537012347,-0.06216928402098644,
20150107,163000,171500,163000,170000,511006,7.93,0.64,8.93,-0.00911854103343468,0.008823529411764675,-0.04117647058823526,0.033434650455927084,-0.19534090533320525,0.011302795954788891,-0.07275469550783042,-0.0023474178403756207,0.01214119421751314,-0.0181923187987294,-0.12702350713590116,-0.013157894736842035,-0.3795884319732976,-0.12961856813721306,-0.3061405792467772,-0.14579085177082068,-0.31306664819288543,0.051399609926364255,0.03370270383975463,0.0786284605199773,0.02597621951935182,,-0.16374758809094217,0.07148252438679611,-0.16578379268014054,-0.022342056126866183,0.01140664087577422,-0.0007405906720201652,,0.14810589308149025,0.2566296680378329,-0.06472166936647092,-0.12418327348072151,-0.17303889068653822,-0.059551058692969554,
20150108,172500,178000,171000,178000,902742,7.93,0.64,8.93,0.014705882352941124,0.0,-0.0393258426966292,0.04705882352941182,0.7665976524737479,0.047675103001765695,0.5244416044613551,0.04032729398012869,0.6471115856602316,0.030241643756330427,0.5164510145865318,0.03333172076822599,0.0908683130931982,-0.0868673050615596,0.21997676786876363,-0.28136056592027403,-0.13556971414945335,-0.03518709240466612,0.002633005751038986,0.06512338234967918,0.022050024585712112,,-0.1511838376856289,0.012563750405313268,-0.16632172719988922,-0.060178636120144735,0.008165175599160716,-0.0061891320103737305,,0.32590817753023565,0.1778022844487454,0.023894835660651603,-0.06588921024074744,-0.16017225008140162,-0.05181467575173841,
20150109,180000,182500,177500,180000,717579,7.93,0.64,8.93,0.011235955056179803,0.01388888888888884,-0.01388888888888884,0.011235955056179803,-0.20511175950603822,0.04590354445090061,0.11409429525418568,0.0468159348647863,0.2319219265515442,0.04226983207874935,0.18965033601642478,0.04453793703757425,-0.13418103196470899,-0.07490684825902605,-0.03438231976207118,-0.40419661110484,-0.12283604518456598,-0.12216902162018015,-0.038709638359099595,0.032848075412588676,0.012792084094491016,,0.06770543731073513,0.218889274996364,-0.11565950370259917,-0.07048126965161129,0.0144131860485729,-0.005514475977317164,,0.23302800109813693,-0.09288017643209873,0.08403626666274415,-0.024945305121869932,-0.13611698910263087,-0.04472158473933501,
20150112,178000,179500,175500,177500,684147,7.93,0.64,8.93,-0.011111111111111072,0.011267605633802802,-0.011267605633802802,-0.01388888888888884,-0.046589992182045514,0.02011494252873569,-0.008635767285807727,0.030778164924506468,0.1802760286379712,0.028538316673909936,0.11197742195644533,0.029781473602784825,-0.17532115484394117,-0.08569956860472605,-0.08004125522868999,-0.05893324095552564,0.34526337014931435,-0.14460109466587912,-0.0327617675986409,0.023675451229177295,0.010193316539929831,,-0.0836793846936404,-0.15138482200437553,-0.1132270971274429,-0.10055397191039346,0.00699157196564419,-0.004423169601252604,,0.036598859601810724,-0.1964291414963262,0.12702343127106616,-0.012194739729082665,-0.12361056444156668,-0.04478651711107533,
20150113,181500,181500,178000,179500,713861,7.93,0.64,8.93,0.022535211267605604,0.011142061281337101,-0.00835654596100277,0.011267605633802802,0.04343218635761037,0.01412429378531077,0.011325079653815795,0.0393746381007527,0.17882510342736646,0.03967564436721682,0.15521050002763181,0.04022794224175397,-0.12901355304468942,-0.07318962178907962,-0.039787388516501765,-0.22885407663396656,-0.1699208356784409,-0.2238270692770854,-0.0585205185368219,0.005649154443010654,0.0030781035646551057,0.0350251085865274,0.01730448924930764,0.10098387394294804,-0.06272017678203372,-0.10824392759372115,-0.0033158021269018233,-0.003187703495460388,-0.07066362872069201,0.09319041101839154,0.056591551416580815,0.167366268466013,0.01268355198090056,-0.10131410636943294,-0.04064462884878458,0.015361374402314332
20150114,181000,182500,176500,177500,392613,7.93,0.64,8.93,0.008356545961002881,0.028169014084507005,-0.005633802816901401,-0.011142061281337101,-0.450014778787467,-0.0056022408963585235,-0.42448009963230104,0.024235429890363536,-0.36330769350524006,0.028389339513325673,-0.3569837344872958,0.027100009644131617,-0.5106797423322684,-0.08128275356380332,-0.4719846189343955,-0.08351990382386727,0.1453341728100993,-0.21137287968769472,-0.07998663488066522,-0.0036107688500223853,-0.00039805314531823275,0.03534855615551261,-0.20368148787737544,-0.22098597712668308,-0.07070695673932037,-0.11824537470973048,-0.017562944822541383,-0.0060418975449998465,-0.07066824820039663,0.2131666552049983,0.11997624418660677,0.1803784208907146,0.057828375762121874,-0.08039967437698069,-0.03546901568720986,0.014372394744549719
20150115,178000,178000,173500,174500,378944,7.93,0.64,8.93,0.0028169014084507005,0.02005730659025784,-0.005730659025787954,-0.016901408450704203,-0.034815454404209745,-0.01856017997750281,-0.3437390029731805,0.0037388553350590215,-0.3520151544842903,0.011008111239861007,-0.3620139498839249,0.009205262904236289,-0.5214286014978089,-0.09454521868851751,-0.4910309147707397,0.1571577858469853,0.24067768967085257,-0.12366920933424283,-0.07942815086945447,-0.005653521601865333,0.00525008118397209,0.03725484740914871,-0.226843544164837,-0.02316205628746157,-0.08583889803516201,-0.12608031261752564,-0.031765987145257205,-0.011529582720030265,-0.07102403261116226,0.07624873332207398,-0.13691792188292434,0.13044653204908227,0.07717068385486696,-0.060280355773326556,-0.03545787374700224,0.012856117044969997
